dialog.file;dialog.who;dialog.from;dialog.to;dialog.text
INFO_FINDNPC_NC_LARES_11_01.WAV;Inne;Inne;Bezimienny;Na samym końcu jaskini, po lewej. Na pewno trafisz. Jak zatrzymają cię jego chłopcy, będziesz wiedział, że jesteś na miejscu.
INFO_FINDNPC_NC_LEE_15_00.WAV;Inne;Bezimienny;Inne;Gdzie mogę znaleźć Lee?
INFO_FINDNPC_NC_LEE_06_01.WAV;Inne;Inne;Bezimienny;Wejdź do wielkiej jaskini, trzymaj się prawej strony i wyjdź na samą górę.
INFO_FINDNPC_NC_LEE_07_01.WAV;Inne;Inne;Bezimienny;Wejdź do wielkiej jaskini, trzymaj się prawej strony i wyjdź na samą górę.
INFO_FINDNPC_NC_LEE_13_01.WAV;Inne;Inne;Bezimienny;Wejdź do wielkiej jaskini, trzymaj się prawej strony i wyjdź na samą górę.
INFO_FINDNPC_NC_LEE_08_01.WAV;Inne;Inne;Bezimienny;Wejdź do wielkiej jaskini, trzymaj się prawej strony i wyjdź na samą górę.
INFO_FINDNPC_NC_LEE_11_01.WAV;Inne;Inne;Bezimienny;Wejdź do wielkiej jaskini, trzymaj się prawej strony i wyjdź na samą górę.
INFO_FINDNPC_NC_CRONOS_15_00.WAV;Inne;Bezimienny;Inne;Gdzie mogę znaleźć jakiegoś maga?
INFO_FINDNPC_NC_CRONOS_06_01.WAV;Inne;Inne;Bezimienny;Zwykle przebywają w zamkniętej, górnej części jaskini, ale czasami można jakiegoś spotkać przy kopcu rudy, w centrum.
INFO_FINDNPC_NC_CRONOS_07_01.WAV;Inne;Inne;Bezimienny;Zwykle przebywają w zamkniętej, górnej części jaskini, ale czasami można jakiegoś spotkać przy kopcu rudy, w centrum.
INFO_FINDNPC_NC_CRONOS_13_01.WAV;Inne;Inne;Bezimienny;Zwykle przebywają w zamkniętej, górnej części jaskini, ale czasami można jakiegoś spotkać przy kopcu rudy, w centrum.
INFO_FINDNPC_NC_CRONOS_08_01.WAV;Inne;Inne;Bezimienny;Zwykle przebywają w zamkniętej, górnej części jaskini, ale czasami można jakiegoś spotkać przy kopcu rudy, w centrum.
INFO_FINDNPC_NC_CRONOS_11_01.WAV;Inne;Inne;Bezimienny;Zwykle przebywają w zamkniętej, górnej części jaskini, ale czasami można jakiegoś spotkać przy kopcu rudy, w centrum.
INFO_FINDNPC_DIEGO_15_00.WAV;Inne;Bezimienny;Inne;Gdzie znajdę Diego?
INFO_FINDNPC_OC_DIEGO_01_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_02_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_03_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_04_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_06_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_07_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_13_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_10_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_DIEGO_12_01.WAV;Inne;Inne;Bezimienny;W ciągu dnia przesiaduje zwykle z Thorusem przed wejściem do zamku.
INFO_FINDNPC_OC_THORUS_15_00.WAV;Inne;Bezimienny;Inne;Gdzie znajdę Thorusa?
INFO_FINDNPC_OC_THORUS_01_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_02_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_03_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_04_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_06_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_07_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_13_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_10_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_OC_THORUS_12_01.WAV;Inne;Inne;Bezimienny;Zwykle kręci się przy wejściu do zamku.
INFO_FINDNPC_ST_CORANGAR_15_00.WAV;Inne;Bezimienny;Inne;Gdzie mogę znaleźć Cor Angara?
INFO_FINDNPC_ST_CORANGAR_02_01.WAV;Inne;Inne;Bezimienny;Plac treningowy Świątynnej Straży znajduje się na wyższym poziomie. W ciągu dnia tam go znajdziesz.
INFO_FINDNPC_ST_CORANGAR_03_01.WAV;Inne;Inne;Bezimienny;Plac treningowy Świątynnej Straży znajduje się na wyższym poziomie. W ciągu dnia tam go znajdziesz.
INFO_FINDNPC_ST_CORANGAR_05_01.WAV;Inne;Inne;Bezimienny;Plac treningowy Świątynnej Straży znajduje się na wyższym poziomie. W ciągu dnia tam go znajdziesz.
INFO_FINDNPC_ST_CORANGAR_08_01.WAV;Inne;Inne;Bezimienny;Plac treningowy Świątynnej Straży znajduje się na wyższym poziomie. W ciągu dnia tam go znajdziesz.
INFO_FINDNPC_ST_CORANGAR_13_01.WAV;Inne;Inne;Bezimienny;Plac treningowy Świątynnej Straży znajduje się na wyższym poziomie. W ciągu dnia tam go znajdziesz.
INFO_FINDNPC_ST_CORKALOM_15_00.WAV;Inne;Bezimienny;Inne;Gdzie znajdę Cor Kaloma?
INFO_FINDNPC_ST_CORKALOM_02_01.WAV;Inne;Inne;Bezimienny;Laboratorium alchemiczne znajduje się na wyższym poziomie, w pobliżu świątynnego wzgórza. Cor Kalom raczej się stamtąd nie rusza.
INFO_FINDNPC_ST_CORKALOM_03_01.WAV;Inne;Inne;Bezimienny;Laboratorium alchemiczne znajduje się na wyższym poziomie, w pobliżu świątynnego wzgórza. Cor Kalom raczej się stamtąd nie rusza.
INFO_FINDNPC_ST_CORKALOM_05_01.WAV;Inne;Inne;Bezimienny;Laboratorium alchemiczne znajduje się na wyższym poziomie, w pobliżu świątynnego wzgórza. Cor Kalom raczej się stamtąd nie rusza.
INFO_FINDNPC_ST_CORKALOM_08_01.WAV;Inne;Inne;Bezimienny;Laboratorium alchemiczne znajduje się na wyższym poziomie, w pobliżu świątynnego wzgórza. Cor Kalom raczej się stamtąd nie rusza.
INFO_FINDNPC_ST_CORKALOM_13_01.WAV;Inne;Inne;Bezimienny;Laboratorium alchemiczne znajduje się na wyższym poziomie, w pobliżu świątynnego wzgórza. Cor Kalom raczej się stamtąd nie rusza.
INFO_FINDNPC_ST_YBERION_15_00.WAV;Inne;Bezimienny;Inne;Gdzie znajdę Y'Beriona?
INFO_FINDNPC_ST_YBERION_02_01.WAV;Inne;Inne;Bezimienny;Jaśnie Oświecony żyje w odosobnieniu, wewnątrz świątynnego wzgórza. Publicznie pojawia się tylko na szczególne okazje.
INFO_FINDNPC_ST_YBERION_03_01.WAV;Inne;Inne;Bezimienny;Jaśnie Oświecony żyje w odosobnieniu, wewnątrz świątynnego wzgórza. Publicznie pojawia się tylko na szczególne okazje.
INFO_FINDNPC_ST_YBERION_05_01.WAV;Inne;Inne;Bezimienny;Jaśnie Oświecony żyje w odosobnieniu, wewnątrz świątynnego wzgórza. Publicznie pojawia się tylko na szczególne okazje.
INFO_FINDNPC_ST_YBERION_08_01.WAV;Inne;Inne;Bezimienny;Jaśnie Oświecony żyje w odosobnieniu, wewnątrz świątynnego wzgórza. Publicznie pojawia się tylko na szczególne okazje.
INFO_FINDNPC_ST_YBERION_13_01.WAV;Inne;Inne;Bezimienny;Jaśnie Oświecony żyje w odosobnieniu, wewnątrz świątynnego wzgórza. Publicznie pojawia się tylko na szczególne okazje.
INFO_BAU_2_WICHTIGEPERSONEN_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Pracujesz na polach ryżowych z własnej woli?
INFO_BAU_2_WICHTIGEPERSONEN_02_01.WAV;Zbieracz;Zbieracz;Bezimienny;Jasne! Lepsze to, niż zostać ZMUSZONYM do pracy przez oprychów Ryżowego Księcia!
INFO_BAU_2_WICHTIGEPERSONEN_15_02.WAV;Zbieracz;Bezimienny;Zbieracz;Rozumiem...
INFO_BAU_2_DASLAGER_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Co możesz mi powiedzieć o Obozie?
INFO_BAU_2_DASLAGER_02_01.WAV;Zbieracz;Zbieracz;Bezimienny;Niełatwo się tu żyje. Najemnicy Lee i magowie są w porządku, ale Szkodniki dają się wszystkim we znaki!
INFO_BAU_2_DIELAGE_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Co słychać?
INFO_BAU_2_DIELAGE_02_01.WAV;Zbieracz;Zbieracz;Bezimienny;Czego chcesz? Przysłał cię Ryżowy Książe? Pracuję najlepiej jak potrafię!
INFO_BAU_2_DIELAGE_15_02.WAV;Zbieracz;Bezimienny;Zbieracz;Nikt mnie nie przysłał! Chcę po prostu porozmawiać!
INFO_BAU_2_WASSER_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Przysyła mnie Lewus. Przyniosłem ci wodę.
INFO_BAU_2_WASSER_02_01.WAV;Zbieracz;Zbieracz;Bezimienny;O, dzięki. Umieram z pragnienia!
INFO_BAU_2_WASSER_NOWATER_02_00.WAV;Zbieracz;Zbieracz;Bezimienny;Woda! Hej, człowieku! Nic nie zostało! Tylko mi nie mów, że znowu wszyscy się napili, oprócz mnie!
INFO_BAU_4_WICHTIGEPERSONEN_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Macie jakiegoś przywódcę?
INFO_BAU_4_WICHTIGEPERSONEN_04_01.WAV;Zbieracz;Zbieracz;Bezimienny;Cóż, teoretycznie naszym szefem jest Ryżowy Książe, ale większość z nas pracuje dla niego tylko ze strachu przed jego siepaczami.
INFO_BAU_4_WICHTIGEPERSONEN_04_02.WAV;Zbieracz;Zbieracz;Bezimienny;Ja jestem wyjątkiem. Jestem tu od kilku lat i zdążyłem już parę razy oberwać od Szkodników. Na polach ryżowych jest przynajmniej spokojnie.
INFO_BAU_4_DASLAGER_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Co powinienem wiedzieć o tym miejscu?
INFO_BAU_4_DASLAGER_04_01.WAV;Zbieracz;Zbieracz;Bezimienny;Uważaj na siebie, chłopcze! W Obozie roi się od morderców i rabusiów. Oni tylko czekają na przybycie kogoś takiego jak ty.
INFO_BAU_4_DIELAGE_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Co słychać?
INFO_BAU_4_DIELAGE_04_01.WAV;Zbieracz;Zbieracz;Bezimienny;Mamy mnóstwo pracy. Do wykarmienia tylu ludzi potrzeba mnóstwa ryżu.
INFO_BAU_4_WASSER_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Przysyła mnie Lewus. Przyniosłem ci wodę.
INFO_BAU_4_WASSER_04_01.WAV;Zbieracz;Zbieracz;Bezimienny;Dzięki, chłopcze. Piękne dzięki.
INFO_BAU_4_WASSER_NOWATER_04_00.WAV;Zbieracz;Zbieracz;Bezimienny;Ale nic ci nie zostało! No trudno, poszukam u innych.
INFO_BAU_9_WICHTIGEPERSONEN_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Kto pilnuje, by praca w polu przebiegała bez przeszkód?
INFO_BAU_9_WICHTIGEPERSONEN_09_01.WAV;Zbieracz;Zbieracz;Bezimienny;Wszyscy! W zasadzie powinien się tym zajmować Ryżowy Książe, ale moim zdaniem ten człowiek umie tylko siedzieć w swojej norze i liczyć worki.
INFO_BAU_9_WICHTIGEPERSONEN_09_02.WAV;Zbieracz;Zbieracz;Bezimienny;W każdym razie to on i Homer zapoczątkowali to wszystko...
INFO_BAU_9_DASLAGER_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Opowiedz mi o tym obozie.
INFO_BAU_9_DASLAGER_09_01.WAV;Zbieracz;Zbieracz;Bezimienny;Obóz? Jest wypełniony po brzegi najgorszymi szumowinami. Moim zdaniem Najemnicy powinni już dawno oczyścić to miejsce ze Szkodników.
INFO_BAU_9_DASLAGER_09_02.WAV;Zbieracz;Zbieracz;Bezimienny;Nie ma z nich żadnego pożytku, tylko same kłopoty.
INFO_BAU_9_DIELAGE_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Jak się masz?
INFO_BAU_9_DIELAGE_09_01.WAV;Zbieracz;Zbieracz;Bezimienny;Harujemy tu do upadłego, żeby reszta miała co włożyć do garnka.
INFO_BAU_9_WASSER_15_00.WAV;Zbieracz;Bezimienny;Zbieracz;Przysyła mnie Lewus. Przyniosłem ci wodę.
INFO_BAU_9_WASSER_09_01.WAV;Zbieracz;Zbieracz;Bezimienny;Piękne dzięki! Jeszcze trochę, a zacząłbym pić z kałuży.
INFO_BAU_9_WASSER_NOWATER_09_00.WAV;Zbieracz;Zbieracz;Bezimienny;Chyba ci się skończyła. Trudno, wezmę trochę od innych.
INFO_GRD_13_EINERVONEUCHWERDEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Chciałbym zostać strażnikiem.
INFO_GRD_13_EINERVONEUCHWERDEN_13_01.WAV;Strażnik;Strażnik;Bezimienny;Zatem długa droga przed tobą, chłopcze!
INFO_GRD_13_WICHTIGEPERSONEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Kto tu rządzi?
INFO_GRD_13_WICHTIGEPERSONEN_13_01.WAV;Strażnik;Strażnik;Bezimienny;Ja. I dobrze ci radzę: uważaj na to, co mówisz, chłopcze!
INFO_GRD_13_DASLAGER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jak mogę się dostać do zamku?
INFO_GRD_13_DASLAGER_13_01.WAV;Strażnik;Strażnik;Bezimienny;Nie możesz. Prawo wstępu mają tylko ludzie Gomeza.
INFO_GRD_13_DASLAGER_VERSTEHE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Rozumiem.
INFO_GRD_13_DASLAGER_WACHENBESTECHEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;A gdybym tak... przekupił strażników?
INFO_GRD_13_DASLAGER_WACHENBESTECHEN_13_01.WAV;Strażnik;Strażnik;Bezimienny;Masz tupet, chłopcze! Cóż, myślę, że za odpowiednią ilość rudy mógłbyś ich przekonać by przez chwilę... patrzyli w inną stronę.
INFO_GRD_13_DASLAGER_WACHENBESTECHEN_13_02.WAV;Strażnik;Strażnik;Bezimienny;Ale jeśli Gomez dowie się, że ktoś taki jak ty dostał się za mury, każe ich migiem wtrącić do lochu.
INFO_GRD_13_DASLAGER_WACHENBESTECHEN_13_03.WAV;Strażnik;Strażnik;Bezimienny;A to oczywiście podnosi cenę...
INFO_GRD_13_DASLAGER_WACHENBESTECHEN_13_04.WAV;Strażnik;Strażnik;Bezimienny;Zresztą, nawet gdybyś dostał się do środka, co byś tam robił? Wszystkie budynki są pilnie strzeżone.
INFO_GRD_13_DASLAGER_WACHENBESTECHEN_15_05.WAV;Strażnik;Bezimienny;Strażnik;Tak tylko pytam...
INFO_GRD_13_DASLAGER_GOMEZSPRECHEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Co muszę zrobić, żeby porozmawiać z Gomezem?
INFO_GRD_13_DASLAGER_GOMEZSPRECHEN_13_01.WAV;Strażnik;Strażnik;Bezimienny;Gomez nie zwraca uwagi na nowych. Musisz się najpierw czymś wykazać.
INFO_GRD_13_DASLAGER_GOMEZSPRECHEN_13_02.WAV;Strażnik;Strażnik;Bezimienny;Jeśli myślisz o tym poważnie, zamień słowo z Thorusem.
INFO_GRD_13_DIELAGE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jak leci?
INFO_GRD_13_DIELAGE_13_01.WAV;Strażnik;Strażnik;Bezimienny;Cisza i spokój. Od czasu do czasu jakaś rozróba z Nowym Obozem albo paru świrów z Sekty, ot i wszystko!
INFO_GRD_13_DIELAGE_13_02.WAV;Strażnik;Strażnik;Bezimienny;Tak długo, jak jesteś tu nowy, to nie ma znaczenia. Ale jak już zdecydujesz, do którego obozu chcesz należeć, utkwisz w tym po szyję!
INFO_GRD_6_EINERVONEUCHWERDEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Nie przydałby się wam dodatkowy człowiek?
INFO_GRD_6_EINERVONEUCHWERDEN_06_01.WAV;Strażnik;Strażnik;Bezimienny;Jesteś tu nowy, co? Jeśli chcesz szybko dołączyć do jakiegoś Obozu, spróbuj u tych świrów z sekty. Nie są zbyt wybredni, jeśli chodzi o nowych członków.
INFO_GRD_6_EINERVONEUCHWERDEN_06_02.WAV;Strażnik;Strażnik;Bezimienny;Nie przyjmujemy byle kogo. No, chyba że chcesz pracować w Starej Kopalni!
INFO_GRD_6_WICHTIGEPERSONEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Kto tu rządzi?
INFO_GRD_6_WICHTIGEPERSONEN_06_01.WAV;Strażnik;Strażnik;Bezimienny;Thorus dba tu o względny porządek. Nad nim jest już tylko Gomez.
INFO_GRD_6_DASLAGER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jestem tu nowy.
INFO_GRD_6_DASLAGER_06_01.WAV;Strażnik;Strażnik;Bezimienny;Właśnie widzę.
INFO_GRD_6_DASLAGER_15_02.WAV;Strażnik;Bezimienny;Strażnik;Co słychać?
INFO_GRD_6_DASLAGER_06_03.WAV;Strażnik;Strażnik;Bezimienny;Jak będziesz sprawiał kłopoty, dostaniesz w ucho.
INFO_GRD_6_DASLAGER_VERSTEHE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Rozumiem.
INFO_GRD_6_DASLAGER_WASISTAERGER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Co masz na myśli mówiąc "kłopoty"?
INFO_GRD_6_DASLAGER_WASISTAERGER_06_01.WAV;Strażnik;Strażnik;Bezimienny;Większość Kopaczy płaci nam za ochronę.
INFO_GRD_6_DASLAGER_WASISTAERGER_06_02.WAV;Strażnik;Strażnik;Bezimienny;Jak zaczepisz któregoś z nich, będziesz miał do czynienia z nami.
INFO_GRD_6_DASLAGER_WASISTAERGER_06_03.WAV;Strażnik;Strażnik;Bezimienny;Jeśli złapię cię na grzebaniu w cudzych chatach...
INFO_GRD_6_DASLAGER_WASISTAERGER_15_04.WAV;Strażnik;Bezimienny;Strażnik;Dobrze, dobrze. Zrozumiałem aluzję.
INFO_GRD_6_DIELAGE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jak leci?
INFO_GRD_6_DIELAGE_06_01.WAV;Strażnik;Strażnik;Bezimienny;Szukasz kłopotów?
INFO_GRD_7_EINERVONEUCHWERDEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Co mam zrobić, żeby zostać jednym ze strażników Gomeza?
INFO_GRD_7_EINERVONEUCHWERDEN_07_01.WAV;Strażnik;Strażnik;Bezimienny;Ty?! Chyba żartujesz. Myślisz, że możesz tu przyjść i tak od razu dostać się na sam szczyt?
INFO_GRD_7_EINERVONEUCHWERDEN_07_02.WAV;Strażnik;Strażnik;Bezimienny;Strażnicy Gomeza to najlepsi z najlepszych.
INFO_GRD_7_EINERVONEUCHWERDEN_07_03.WAV;Strażnik;Strażnik;Bezimienny;Będziesz musiał powoli piąć się do góry, i udowodnić swoją lojalność jako Cień.
INFO_GRD_7_WICHTIGEPERSONEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Kto tu rządzi?
INFO_GRD_7_WICHTIGEPERSONEN_07_01.WAV;Strażnik;Strażnik;Bezimienny;Thorus trzyma rękę na pulsie. Diego jest jego porucznikiem.
INFO_GRD_7_WICHTIGEPERSONEN_07_02.WAV;Strażnik;Strażnik;Bezimienny;Jeśli naprawdę chcesz do czegoś dojść, powinieneś porozmawiać właśnie z nimi.
INFO_GRD_7_DASLAGER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Wszyscy tutaj pracują dla Gomeza?
INFO_GRD_7_DASLAGER_07_01.WAV;Strażnik;Strażnik;Bezimienny;Nie. Większość z tych ludzi to zwykli Kopacze.
INFO_GRD_7_DASLAGER_07_02.WAV;Strażnik;Strażnik;Bezimienny;Dla Gomeza pracują tylko Cienie... No i my - Strażnicy.
INFO_GRD_7_DASLAGER_WASISTAERGER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Czym się zajmują Strażnicy?
INFO_GRD_7_DASLAGER_WASISTAERGER_07_01.WAV;Strażnik;Strażnik;Bezimienny;Pilnujemy porządku w Obozie i dbamy o bezpieczeństwo Kopaczy.
INFO_GRD_7_DASLAGER_WASISTAERGER_07_02.WAV;Strażnik;Strażnik;Bezimienny;Gomez wypłaca nam żołd. Dodatkowo, Kopacze płacą za ochronę. To całkiem lukratywne zajęcie!
INFO_GRD_7_DASLAGER_SCHATTEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jaką funkcję pełnią Cienie?
INFO_GRD_7_DASLAGER_SCHATTEN_07_01.WAV;Strażnik;Strażnik;Bezimienny;Cienie dbają o to, żeby ludzie wypełniali polecenia Gomeza.
INFO_GRD_7_DASLAGER_SCHATTEN_07_02.WAV;Strażnik;Strażnik;Bezimienny;Większość z nich to zwykłe lizusy, próbujące piąć się do góry. Jeśli chcesz dojść do czegoś w tej kolonii, powinieneś zacząć jako Cień.
INFO_GRD_7_DASLAGER_SCHATTEN_07_03.WAV;Strażnik;Strażnik;Bezimienny;Jak odsłużysz swoje bez żadnej wpadki, kto wie? Może zostaniesz jednym z nas.
INFO_GRD_7_DASLAGER_SCHATTEN_07_04.WAV;Strażnik;Strażnik;Bezimienny;Jak już będziesz u Gomeza, nikt z kolonii nie będzie ci uprzykrzał życia.
INFO_GRD_7_DASLAGER_BUDDLER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Co robią Kopacze?
INFO_GRD_7_DASLAGER_BUDDLER_07_01.WAV;Strażnik;Strażnik;Bezimienny;Dobre pytanie! Te krety nie powinny być nigdy wypuszczane z kopalni.
INFO_GRD_7_DASLAGER_BUDDLER_07_02.WAV;Strażnik;Strażnik;Bezimienny;Po jakimś czasie spędzonym pod ziemią, Kopacze wychodzą na górę, żeby przepuścić swój urobek.
INFO_GRD_7_DASLAGER_BUDDLER_07_03.WAV;Strażnik;Strażnik;Bezimienny;Jak już wszystko wydadzą - wracają do kopalni. I tak przez całe życie.
INFO_GRD_7_DASLAGER_BUDDLER_07_04.WAV;Strażnik;Strażnik;Bezimienny;Wyglądasz mi na kogoś stworzonego do czegoś więcej niż machanie kilofem. Pogadaj z Thorusem, jeśli jeszcze tego nie zrobiłeś.
INFO_GRD_7_DIELAGE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Co słychać?
INFO_GRD_7_DIELAGE_07_01.WAV;Strażnik;Strażnik;Bezimienny;O tobie? Nic. Dopóki nie dołączysz do któregoś z obozów, ludzie będą cię ignorowali, chłopcze.
INFO_MINE_GRD_13_MINE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Co się dzieje w kopalni?
INFO_MINE_GRD_13_MINE_13_01.WAV;Strażnik;Strażnik;Bezimienny;Kopalnia to serce Starego Obozu. Bez kopalni nie ma rudy. Bez rudy nie ma towarów od króla. Kapujesz?
INFO_MINE_GRD_13_WICHTIGEPERSONEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Kto tu rządzi?
INFO_MINE_GRD_13_WICHTIGEPERSONEN_13_01.WAV;Strażnik;Strażnik;Bezimienny;Asghan jest tu szefem, ale lepiej nie zawracaj mu głowy. Takimi jak ty zajmuje się Ian.
INFO_MINE_GRD_13_DASLAGER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Opowiedz mi o pełzaczach.
INFO_MINE_GRD_13_DASLAGER_13_01.WAV;Strażnik;Strażnik;Bezimienny;Bractwo płaci Staremu Obozowi bagiennym zielem za prawo do polowania na pełzacze w kopalni.
INFO_MINE_GRD_13_DIELAGE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jak leci?
INFO_MINE_GRD_13_DIELAGE_13_01.WAV;Strażnik;Strażnik;Bezimienny;Ach... Od wieków nie brałem udziału w żadnej rozróbie.
INFO_MINE_GRD_6_MINE_15_00.WAV;Strażnik;Bezimienny;Strażnik;Jak wygląda praca w kopalni?
INFO_MINE_GRD_6_MINE_06_01.WAV;Strażnik;Strażnik;Bezimienny;Kopacze wydobywają tu rudę. A jak nie wydobywają, to dostają porządne baty.
INFO_MINE_GRD_6_WICHTIGEPERSONEN_15_00.WAV;Strażnik;Bezimienny;Strażnik;Kto tu rządzi?
INFO_MINE_GRD_6_WICHTIGEPERSONEN_06_01.WAV;Strażnik;Strażnik;Bezimienny;Szefem jest Asghan, ale to Ian organizuje takie rzeczy, jak ruda i Kopacze.
INFO_MINE_GRD_6_MINECRAWLER_15_00.WAV;Strażnik;Bezimienny;Strażnik;Opowiedz mi o pełzaczach.
